id,make,model,year,color
687,Dodge,Grand Caravan,1993,Turquoise
688,Mercedes-Benz,CLK-Class,2006,Red
689,Toyota,Solara,2003,Puce
690,Honda,CR-V,2004,Purple
691,Mitsubishi,Pajero,2001,Purple
692,Lincoln,Town Car,2010,Turquoise
693,Ford,Expedition,2004,Pink
694,Chevrolet,Express 2500,2007,Goldenrod
695,Hyundai,XG300,2001,Yellow
696,Acura,NSX,2001,Orange
697,Mazda,MX-5,1999,Red
698,Ford,Five Hundred,2005,Goldenrod
699,Volvo,V50,2007,Puce
700,Chevrolet,Cavalier,1994,Orange
701,Dodge,Ram Van 3500,1995,Turquoise
702,Subaru,SVX,1994,Green
703,Lincoln,Navigator L,2009,Goldenrod
704,Chevrolet,S10,1992,Purple
705,Oldsmobile,Bravada,1993,Violet
706,Volvo,S60,2001,Yellow
707,Pontiac,Firebird,1997,Orange
708,Toyota,FJ Cruiser,2011,Blue
709,Chevrolet,S10,2001,Maroon
710,Hyundai,Elantra,2010,Puce
711,Mercedes-Benz,E-Class,2003,Red
712,Jaguar,XJ,2009,Blue
713,GMC,Savana 2500,1996,Yellow
714,Cadillac,Eldorado,1995,Aquamarine
715,Lincoln,MKT,2012,Yellow
716,Chevrolet,S10,1992,Green
717,Volvo,S60,2012,Aquamarine
718,Dodge,Magnum,2006,Violet
719,Suzuki,Equator,2010,Khaki
720,Nissan,Maxima,1990,Blue
721,Honda,Fit,2011,Blue
722,Mitsubishi,Eclipse,1993,Aquamarine
723,GMC,Savana 2500,2005,Goldenrod
724,Honda,Prelude,1985,Violet
725,Honda,S2000,2006,Teal
726,Nissan,Maxima,2012,Khaki
727,GMC,Yukon,2009,Crimson
728,GMC,Vandura G3500,1995,Crimson
729,Kia,Spectra,2005,Green
730,Ford,Thunderbird,1997,Fuscia
731,Ford,F150,2004,Yellow
732,BMW,Z8,2001,Green
733,Plymouth,Voyager,1993,Indigo
734,Land Rover,Freelander,2009,Khaki
735,Toyota,Prius,2006,Crimson
736,Suzuki,Swift,1987,Khaki
737,Toyota,Prius Plug-in,2012,Purple
738,Ford,F350,2012,Fuscia
739,Mitsubishi,Galant,1985,Green
740,Ford,Mustang,1974,Puce
741,Pontiac,Firebird,1997,Puce
742,Mercury,Grand Marquis,2002,Pink
743,Audi,5000S,1988,Mauv
744,Pontiac,GTO,1966,Yellow
745,BMW,X5,2012,Puce
746,Saturn,L-Series,2001,Green
747,Mercury,Topaz,1991,Indigo
748,Mitsubishi,Outlander,2011,Khaki
749,Chrysler,Concorde,2001,Violet
750,Ford,Thunderbird,1984,Crimson
751,Toyota,Corolla,1992,Red
752,Land Rover,Range Rover Sport,2011,Orange
753,Isuzu,Oasis,1996,Green
754,Lexus,IS-F,2010,Yellow
755,Toyota,Solara,2006,Violet
756,Pontiac,Grand Prix,1991,Purple
757,Audi,A4,1998,Goldenrod
758,Toyota,FJ Cruiser,2011,Yellow
759,Honda,Passport,1995,Orange
760,Oldsmobile,Alero,2004,Red
761,Toyota,Tacoma,2003,Red
762,Ford,Fairlane,1967,Violet
763,Volvo,V50,2010,Orange
764,Ford,Contour,1999,Turquoise
765,Suzuki,Kizashi,2011,Khaki
766,Audi,A6,2012,Blue
767,Chevrolet,Traverse,2012,Green
768,Ford,Mustang,1971,Fuscia
769,Pontiac,Grand Prix,2000,Blue
770,Buick,Skyhawk,1984,Maroon
771,Nissan,Armada,2011,Yellow
772,Maserati,228,1989,Turquoise
773,GMC,Envoy XL,2005,Yellow
774,Audi,S5,2009,Goldenrod
775,Chevrolet,Blazer,1997,Puce
776,Kia,Rio,2001,Indigo
777,GMC,Yukon,2013,Pink
778,GMC,3500 Club Coupe,1993,Goldenrod
779,Hyundai,HED-5,2012,Goldenrod
780,Mercedes-Benz,C-Class,2006,Maroon
781,Pontiac,Bonneville,2002,Mauv
782,Chevrolet,Impala,2012,Khaki
783,Studebaker,Avanti,1962,Yellow
784,Buick,Somerset,1985,Crimson
785,Cadillac,DeVille,1999,Maroon
786,Buick,Rendezvous,2002,Orange
787,Chevrolet,Express 3500,2006,Orange
788,Subaru,Legacy,2006,Mauv
789,GMC,Suburban 1500,1993,Aquamarine
790,Toyota,Celica,1999,Turquoise
791,Mercury,Sable,2008,Pink
792,Eagle,Talon,1992,Crimson
793,Isuzu,Trooper,2002,Yellow
794,BMW,3 Series,1998,Orange
795,Mazda,Mazdaspeed6,2006,Yellow
796,Dodge,Durango,2001,Mauv
797,Chevrolet,Express 2500,2010,Mauv
798,Volvo,240,1993,Aquamarine
799,Chevrolet,Silverado,2007,Turquoise
800,Chevrolet,Lumina,2000,Pink
801,Volvo,C70,2000,Goldenrod
802,Ford,Mustang,1966,Fuscia
803,Isuzu,Ascender,2007,Pink
804,Toyota,Corolla,2006,Red
805,GMC,Savana,2011,Maroon
806,Mercedes-Benz,S-Class,2010,Teal
807,Cadillac,CTS,2003,Maroon
808,Cadillac,XLR-V,2007,Maroon
809,Aston Martin,V12 Vantage,2011,Green
810,Ford,Taurus,2006,Maroon
811,BMW,6 Series,1989,Yellow
812,Jeep,Cherokee,1993,Orange
813,Pontiac,LeMans,1966,Green
814,Ford,Thunderbird,1988,Yellow
815,Ford,E-Series,1988,Pink
816,Nissan,Sentra,1998,Turquoise
817,Chevrolet,Equinox,2010,Aquamarine
818,Volkswagen,Golf,1976,Crimson
819,Chevrolet,Suburban 1500,2000,Teal
820,Dodge,Ram 1500,2005,Pink
821,Ford,EXP,1985,Purple
822,Chevrolet,Sonic,2012,Puce
823,Buick,Park Avenue,1992,Fuscia
824,GMC,3500,1998,Aquamarine
825,Toyota,Corolla,2006,Orange
826,Plymouth,Breeze,1998,Indigo
827,Toyota,Camry,1992,Red
828,Chevrolet,Impala,2005,Green
829,Chevrolet,Aveo,2009,Goldenrod
830,Ford,Edge,2007,Green
831,Ford,Mustang,1979,Green
832,Toyota,RAV4,2011,Green
833,Lexus,LS,2006,Khaki
834,Ford,E250,2004,Mauv
835,Ford,Taurus,1986,Indigo
836,Dodge,Ram 1500,1998,Teal
837,Cadillac,Escalade,2005,Orange
838,Mitsubishi,Galant,1986,Violet
839,Chrysler,Sebring,2007,Turquoise
840,Chevrolet,Suburban 1500,2011,Indigo
841,Plymouth,Grand Voyager,1994,Turquoise
842,Pontiac,Solstice,2008,Pink
843,Chevrolet,Cavalier,2000,Orange
844,Toyota,Tacoma Xtra,2000,Pink
845,Pontiac,Bonneville,1991,Red
846,Infiniti,FX,2006,Fuscia
847,Mazda,Protege,2002,Aquamarine
848,Honda,Passport,1995,Blue
849,GMC,Savana 3500,2002,Blue
850,Ford,Mustang,1973,Blue
851,Toyota,RAV4,2001,Pink
852,Hummer,H2,2004,Turquoise
853,Dodge,Stratus,1998,Maroon
854,Chrysler,PT Cruiser,2008,Aquamarine
855,Chrysler,Sebring,2002,Purple
856,Volkswagen,Golf III,1995,Khaki
857,Saab,9-3,2010,Red
858,Spyker,C8 Spyder,2004,Purple
859,Isuzu,Amigo,2000,Turquoise
860,Isuzu,Axiom,2004,Khaki
861,Subaru,Baja,2003,Violet
862,Dodge,Durango,2009,Teal
863,Nissan,Maxima,1997,Yellow
864,GMC,Savana 2500,2001,Teal
865,Mazda,Protege5,2003,Aquamarine
866,Porsche,Cayman,2012,Maroon
867,Volkswagen,Rabbit,2008,Turquoise
868,Audi,S6,1995,Purple
869,Plymouth,Prowler,1999,Crimson
870,Audi,A8,2001,Turquoise
871,Saab,9-7X,2009,Violet
872,Geo,Storm,1993,Goldenrod
873,Ford,Club Wagon,1992,Goldenrod
874,Saturn,L-Series,2003,Teal
875,Suzuki,Equator,2011,Maroon
876,Ford,Freestar,2007,Pink
877,Toyota,Matrix,2003,Red
878,Kia,Forte,2011,Khaki
879,Audi,TT,2006,Violet
880,Cadillac,Escalade,2006,Mauv
881,Dodge,Ram Van 2500,1996,Mauv
882,Infiniti,EX,2012,Blue
883,Lexus,HS,2010,Blue
884,Buick,LaCrosse,2010,Teal
885,Mazda,Miata MX-5,1995,Khaki
886,Buick,Regal,2000,Aquamarine
887,Audi,Q7,2009,Teal
888,GMC,Suburban 1500,1997,Indigo
889,Ford,Escort,1984,Khaki
890,Lamborghini,Countach,1985,Khaki
891,Suzuki,Forenza,2006,Crimson
892,Infiniti,Q,1996,Yellow
893,Honda,Civic GX,2003,Maroon
894,Volkswagen,Scirocco,1987,Indigo
895,Chevrolet,Corsica,1994,Blue
896,Mitsubishi,Chariot,1991,Violet
897,Buick,LeSabre,2002,Blue
898,GMC,Savana 2500,1996,Yellow
899,Volkswagen,Passat,2005,Pink
900,Toyota,Celica,1999,Violet
901,Volvo,V50,2011,Turquoise
902,Land Rover,Range Rover,1996,Khaki
903,Pontiac,G6,2008,Turquoise
904,Ford,F-Series,2001,Crimson
905,Jaguar,XK,2010,Blue
906,Bentley,Continental Flying Spur,2009,Goldenrod
907,Mitsubishi,Diamante,2000,Yellow
908,Mitsubishi,Montero,2002,Pink
909,Hyundai,Scoupe,1993,Green
910,Infiniti,FX,2006,Yellow
911,Buick,Century,1999,Maroon
912,Dodge,Ram 2500,1999,Puce
913,Audi,S4,2008,Blue
914,Subaru,Impreza,2003,Crimson
915,Dodge,Ram 1500 Club,2000,Crimson
916,Chevrolet,Lumina,1993,Mauv
917,Dodge,Ram 2500,2007,Purple
918,Lotus,Exige,2011,Blue
919,Infiniti,QX,2011,Puce
920,Pontiac,Grand Prix,1998,Mauv
921,Hummer,H1,2003,Khaki
922,MINI,Cooper,2012,Aquamarine
923,Ford,Escape,2005,Aquamarine
924,GMC,Sonoma,1996,Fuscia
925,Ford,Laser,1988,Orange
926,Daewoo,Nubira,2000,Orange
927,Kia,Sephia,1996,Violet
928,Ford,E-Series,1985,Teal
929,Hyundai,Tiburon,2005,Maroon
930,Infiniti,M,2012,Pink
931,Toyota,Camry,2000,Indigo
932,Dodge,Viper,2009,Green
933,Geo,Metro,1994,Crimson
934,Aston Martin,Vanquish S,2006,Red
935,Mercedes-Benz,E-Class,1986,Khaki
936,Chevrolet,Aveo,2007,Violet
937,Chevrolet,Silverado 2500,2008,Crimson
938,Honda,Insight,2010,Blue
939,Dodge,Dakota,1998,Fuscia
940,Oldsmobile,Bravada,1994,Goldenrod
941,Eagle,Premier,1992,Teal
942,Pontiac,Sunbird,1988,Red
943,Mazda,RX-8,2008,Yellow
944,Land Rover,Discovery,2001,Red
945,Nissan,Maxima,2006,Aquamarine
946,Audi,RS 6,2003,Violet
947,Mercedes-Benz,CLS-Class,2012,Indigo
948,Chrysler,300,2012,Goldenrod
949,Subaru,XT,1989,Violet
950,Chevrolet,Express 1500,2010,Green
951,Nissan,Sentra,1995,Puce
952,Dodge,Omni,1978,Orange
953,Volkswagen,Golf,1983,Maroon
954,Volkswagen,Eurovan,1993,Green
955,Mazda,Tribute,2002,Pink
956,Mitsubishi,Precis,1990,Green
957,Jeep,Liberty,2010,Purple
958,Lotus,Esprit,1985,Red
959,Plymouth,Breeze,1998,Goldenrod
960,Acura,TL,1998,Goldenrod
961,Jeep,Compass,2011,Orange
962,Isuzu,Rodeo,1996,Purple
963,BMW,M3,1997,Turquoise
964,Cadillac,Escalade,2007,Blue
965,Hyundai,Elantra,1992,Maroon
966,Mazda,Mazda2,2011,Goldenrod
967,Plymouth,Voyager,1997,Purple
968,Ford,Bronco,1991,Blue
969,Mercedes-Benz,SL-Class,1991,Fuscia
970,Toyota,Paseo,1992,Fuscia
971,Dodge,Charger,2006,Maroon
972,Plymouth,Prowler,1999,Goldenrod
973,Chevrolet,Caprice,1991,Blue
974,Jeep,Wrangler,2003,Yellow
975,Acura,TSX,2010,Red
976,Land Rover,Range Rover,1990,Puce
977,Volvo,V70,2001,Mauv
978,Studebaker,Avanti,1961,Violet
979,Mitsubishi,Precis,1994,Crimson
980,Land Rover,Discovery,2012,Crimson
981,Mazda,323,1994,Khaki
982,Acura,Integra,2001,Puce
983,Porsche,Cayman,2010,Green
984,Scion,xD,2009,Indigo
985,Volkswagen,Passat,2010,Crimson
986,Lotus,Esprit,1990,Teal
987,Mercedes-Benz,400SE,1992,Khaki
988,Mitsubishi,Diamante,2001,Maroon
989,Mitsubishi,Eclipse,2001,Aquamarine
990,Land Rover,LR4,2010,Blue
991,Chevrolet,Corvette,1975,Mauv
992,Toyota,Corolla,2008,Aquamarine
993,Mazda,Mazda6,2011,Teal
994,Ford,Expedition EL,2012,Blue
995,Dodge,Charger,1968,Aquamarine
996,Lamborghini,Countach,1988,Khaki
997,Kia,Sorento,2008,Green
998,Dodge,Ram 1500,2001,Yellow
999,Jeep,Grand Cherokee,1999,Crimson
1000,Dodge,Charger,2008,Yellow
